,student_id,name,class,study,gpa,is_greek,is_on_campus,distance_to_campus,is_female,is_sprinklered,claim_id,amount,risk_tier,holdout
855,214,"el-Nassif, Faaris",4,Science,2.1364209,0,0,0.0,1.0,1,0,0.0,3,0
859,215,"Smith, Deven",2,Business,3.241408503,0,1,5.044942919,0.0,0,0,0.0,1,0
863,216,"Ritter, Dylan",3,Science,3.62748652,0,0,0.0,0.0,0,0,0.0,2,0
867,217,"Lovern, Kali",3,Science,2.015287174,1,1,2.640771594,0.0,1,0,0.0,2,0
871,218,"Vieyra Perez, Alfredo",4,Other,3.93409024,0,0,0.0,0.0,1,0,0.0,3,0
872,219,"al-Tabet, Qais",1,Other,1.510015049,1,0,0.0,1.0,1,40,2294.001208,1,0
873,219,"al-Tabet, Qais",1,Other,1.510015049,1,0,0.0,1.0,1,41,505.5703546,1,0
880,220,"Vue, James",3,Other,1.957459734,1,1,3.600887743,0.0,0,0,0.0,2,1
884,221,"Tran, Chau",1,Science,3.175584204,1,0,0.0,0.0,0,0,0.0,1,0
888,222,"Smith, Sky",2,Business,2.885680137,0,1,2.184578111,1.0,1,0,0.0,1,0
892,223,"Martinez, Lesley",3,Business,2.130827144,0,0,0.0,0.0,0,0,0.0,2,0
893,224,"Choi, Tiffany",1,Humanities,3.089536036,0,1,10.31068928,0.0,0,44,2451.721674,1,0
900,225,"Thompson, Phillip",1,Business,0.531473696,0,0,0.0,,1,0,0.0,1,0
904,226,"Klausing, Gregory",5,Science,1.290079292,0,0,0.0,1.0,0,0,0.0,3,0
908,227,"Sisk, Izell",3,Business,3.148899757,0,0,0.0,1.0,1,0,0.0,2,1
912,228,"Edd, Trina",1,Business,2.874254189,0,1,3.071759783,1.0,1,0,0.0,1,0
916,229,"Flores, Gerardo",4,Science,3.33458418,0,0,0.0,1.0,1,0,0.0,3,0
920,230,"Gamez, Giselle",2,Humanities,2.93131614,1,1,2.137056428,0.0,1,0,0.0,1,0
924,231,"al-Sani, Izza",3,Other,1.045634413,0,1,0.58729966,1.0,1,0,0.0,2,0
928,232,"Venable, Jordan",1,Science,1.153197365,0,0,0.0,1.0,1,0,0.0,1,0
932,233,"Anders, Adam",4,Other,3.750559675,0,1,0.647627834,0.0,1,0,0.0,3,0
933,234,"Clark, Gage",2,Humanities,0.378755458,0,0,0.0,0.0,1,45,749.5078801,1,0
940,235,"Parrish, Brandon",5,Science,1.023788031,0,1,6.395407945,0.0,1,0,0.0,3,0
944,236,"Peregrino, Rachael",1,Humanities,2.316903315,0,1,5.36434989,0.0,1,0,0.0,1,0
948,237,"Reynolds, Sean",2,Other,1.268636532,1,0,0.0,0.0,1,0,0.0,1,0
952,238,"Blanchard, Jessica",1,Business,2.431191301,0,1,4.242309857,1.0,1,0,0.0,1,0
956,239,"Joe, Rosie",5,Science,0.916025714,0,1,3.905291486,1.0,0,0,0.0,3,0
960,240,"Vidana, Vanessa",4,Science,2.163242754,0,0,0.0,0.0,1,0,0.0,3,0
964,241,"Dia, Darion",5,Science,2.385132533,1,0,0.0,0.0,1,0,0.0,3,1
968,242,"Batista, Mariah",5,Other,3.152772846,1,0,0.0,0.0,0,0,0.0,3,0
972,243,"Garcia Gurule, Jake",4,Business,1.535258604,0,0,0.0,0.0,1,0,0.0,3,0
973,244,"Martinez, Eric",1,Humanities,1.698921205,1,0,0.0,0.0,1,46,968.6896677,1,0
980,245,"Adame Morales, Mercedes",2,Science,3.37883702,0,0,0.0,0.0,0,0,0.0,1,0
984,246,"el-Farman, Muthanna",5,Other,2.564632238,0,0,0.0,1.0,1,0,0.0,3,0
988,247,"Chau, Charlene",2,Other,2.724943792,0,0,0.0,1.0,1,0,0.0,1,0
992,248,"al-Mowad, Abdul Noor",1,Other,1.332800804,0,0,0.0,0.0,1,0,0.0,1,0
996,249,"Tutt, Sarah",2,Business,2.193341023,0,0,0.0,1.0,1,0,0.0,1,0
1000,250,"Garcia, Angelic",1,Science,1.409446001,0,1,0.165170027,1.0,1,0,0.0,1,1
1004,251,"Aguirre, Christopher",2,Other,3.438069306,0,1,8.306971542,1.0,1,0,0.0,1,0
1008,252,"Pierson, Graham",3,Business,2.833302793,0,1,15.11149933,1.0,1,0,0.0,2,0
1009,253,"el-Faris, Sahl",3,Humanities,3.247075869,1,0,0.0,0.0,1,48,1616.626821,2,0
1016,254,"Fish, Gabriel",2,Humanities,1.292502528,0,0,0.0,,0,0,0.0,1,0
1020,255,"Bird, Leonard",3,Science,2.81699803,0,0,0.0,1.0,0,0,0.0,2,0
1024,256,"el-Salem, Abbaas",2,Other,1.72986712,0,0,0.0,1.0,0,0,0.0,1,1
1028,257,"Verde, Cheyenne",2,Other,3.564034109,0,0,0.0,0.0,1,0,0.0,1,0
1032,258,"Le, Lesley",2,Other,2.465027767,1,1,3.900155686,0.0,0,0,0.0,1,0
1036,259,"Mehreen, Davien",3,Science,3.671477387,0,1,9.566999904,1.0,1,0,0.0,2,0
1040,260,"Islas-Rivera, Jonathan",3,Humanities,2.103308586,0,1,7.126148,1.0,1,0,0.0,2,0
1044,261,"Meyer, Shirelle",4,Business,3.240261051,0,0,0.0,1.0,1,0,0.0,3,0
1048,262,"Jenkins, Jonia",4,Science,0.744109348,0,1,0.404639361,1.0,1,0,0.0,3,0
1052,263,"Eastham, Quarmarius",4,Other,2.791961659,1,0,0.0,0.0,1,0,0.0,3,1
1056,264,"Chanaud, Morgan",3,Business,3.006502618,0,1,6.952854056,0.0,1,0,0.0,2,1
1060,265,"el-Ammar, Abdur Raqeeb",3,Humanities,3.268478187,1,0,0.0,,0,0,0.0,2,0
1064,266,"Harrier, Hysendra",4,Science,2.638931503,0,0,0.0,0.0,1,0,0.0,3,0
