,student_id,name,class,gpa,is_greek,is_on_campus,distance_to_campus,is_female,is_sprinklered,claim_id,risk_tier,holdout,Business,Humanities,Other,Science,amount
651,163,"Jaquez-Mendoza, Vincent",2,1.377939696,0,0,0.0,,1,0,1,0,0,0,0,1,0.0
655,164,"Wiegand Brown, Tyrah",3,1.547730592,0,0,0.0,0.0,1,0,2,0,1,0,0,0,0.0
659,165,"Her, Helen",3,0.407265404,0,0,0.0,0.0,0,0,2,0,1,0,0,0,0.0
663,166,"Lavender, Alexandria",3,2.936460852,0,1,1.312041048,1.0,1,0,2,0,0,0,1,0,0.0
667,167,"Silva, Stefanie",1,0.83852887,1,0,0.0,1.0,1,0,1,0,1,0,0,0,0.0
671,168,"Richardson, Doucette",5,3.284678112,1,1,3.256399764,0.0,1,0,3,1,0,0,1,0,0.0
675,169,"al-Rehman, Raaji",4,1.882377115,0,0,0.0,1.0,0,0,3,0,0,1,0,0,0.0
679,170,"Black, Ashley",3,1.141298173,0,0,0.0,0.0,1,0,2,0,1,0,0,0,0.0
680,171,"Keys, Alisha",2,2.214445293,0,0,0.0,1.0,1,32,1,0,0,0,1,0,604.2011962
687,172,"Manzo, Brandon",2,2.440560447,1,0,0.0,1.0,1,0,1,0,0,1,0,0,0.0
691,173,"Lattany, Mark",4,2.477471359,1,0,0.0,0.0,1,0,3,0,0,0,0,1,0.0
695,174,"Khaliq, Tony",5,2.960289538,0,0,0.0,,1,0,3,0,0,0,1,0,0.0
699,175,"Gallegos, Pedro",5,0.994302107,0,0,0.0,1.0,1,0,3,1,0,0,1,0,0.0
703,176,"el-Shabazz, Hanaan",3,3.365997652,0,1,1.507283566,0.0,1,0,2,0,1,0,0,0,0.0
707,177,"Meyers, Maya",2,2.122799922,0,1,6.125959809,1.0,0,0,1,0,0,0,1,0,0.0
708,178,"Katsuba, Craig",5,0.966400502,0,0,0.0,0.0,1,33,3,0,0,1,0,0,611.6535316
715,179,"Wahlgren, Michelle",3,1.742450503,0,1,4.416351541,0.0,1,0,2,0,0,1,0,0,0.0
716,180,"Liscano, Jaydin",4,3.25098748,0,1,1.468598876,1.0,1,34,3,0,1,0,0,0,944.2282183
723,181,"Phantharangsy, Ryan",2,2.419157528,0,0,0.0,1.0,1,0,1,0,1,0,0,0,0.0
727,182,"Label, Jacob",2,3.112273884,0,1,1.796115115,0.0,1,0,1,0,0,0,0,1,0.0
731,183,"Valencia, Gediminas",2,0.494238989,0,0,0.0,1.0,1,0,1,0,0,0,0,1,0.0
735,184,"al-Shaker, Mubashshir",2,1.533706592,0,1,1.540817628,0.0,1,0,1,1,0,1,0,0,0.0
739,185,"Talyai, Nicole",4,3.260288625,0,0,0.0,0.0,1,0,3,0,1,0,0,0,0.0
743,186,"Bayer, Arianna",2,3.394594329,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0.0
747,187,"Caldwell, Ta'Mon",1,2.843358778,0,1,2.448098117,,1,0,1,1,0,1,0,0,0.0
751,188,"Strand, Belle",4,2.884704534,0,0,0.0,1.0,0,0,3,0,0,1,0,0,0.0
752,189,"Lobato, Gerald",1,2.707241582,0,1,3.181656189,0.0,1,35,1,0,0,1,0,0,1243.429387
759,190,"Navarro, Bianca",1,2.699913469,0,0,0.0,1.0,0,0,1,0,0,0,1,0,0.0
760,191,"Molalegne, Klaudia",2,3.185218451,0,0,0.0,0.0,1,36,1,0,0,1,0,0,327.4565204
767,192,"Mcclendon, Taylor",1,1.372483112,0,0,0.0,1.0,1,0,1,0,0,0,1,0,0.0
771,193,"Valiente, Zuriel",3,2.205416406,0,1,2.007709224,1.0,0,0,2,0,1,0,0,0,0.0
775,194,"Schindler, Angel",3,1.152502095,0,1,1.380133776,1.0,1,0,2,0,0,0,0,1,0.0
779,195,"Spencer, Tay Jionna",3,1.088885169,0,0,0.0,,0,0,2,1,0,0,0,1,0.0
783,196,"Young, Corey",2,2.593241465,0,1,6.483310252,0.0,1,0,1,0,1,0,0,0,0.0
787,197,"Fierro, Breanna",1,3.42460104,1,1,1.450223029,0.0,0,0,1,1,0,0,0,1,0.0
791,198,"al-Mustafa, Nawf",2,2.834769998,0,0,0.0,0.0,1,0,1,0,0,0,0,1,0.0
795,199,"Nadiadi, Ryan",1,2.232520177,0,0,0.0,1.0,0,0,1,0,1,0,0,0,0.0
799,200,"Bhakta, Vinh",2,2.317181515,0,0,0.0,1.0,1,0,1,0,0,0,0,1,0.0
803,201,"Valverde, Erin",2,2.795033657,1,1,0.625583054,1.0,0,0,1,0,1,0,0,0,0.0
807,202,"Brooks, Brandon",4,3.497743575,0,1,5.606043502,1.0,1,0,3,0,1,0,0,0,0.0
811,203,"Lange, Brittany",5,0.908488543,0,0,0.0,0.0,1,0,3,0,0,0,0,1,0.0
815,204,"Skinner, Chase",2,1.272674017,1,0,0.0,0.0,0,0,1,0,0,1,0,0,0.0
819,205,"Pham, Mahmoud",4,3.189106734,0,1,10.48026869,1.0,1,0,3,0,0,0,0,1,0.0
823,206,"Vanacore, Michael",5,3.36715123,1,1,5.778459503,1.0,1,0,3,0,0,1,0,0,0.0
827,207,"Estrella, Dora",1,3.232716386,1,1,1.295439443,0.0,1,0,1,1,0,1,0,0,0.0
831,208,"Gallegos, Marisa",2,3.361393715,1,1,0.382197198,1.0,0,0,1,0,0,0,0,1,0.0
835,209,"Quintero, Jesslynn",1,3.770369977,0,0,0.0,1.0,1,0,1,0,0,1,0,0,0.0
839,210,"el-Meer, Tufail",5,2.150983022,1,1,12.40513015,1.0,0,0,3,1,1,0,0,0,0.0
843,211,"Shemel, Courtney",1,3.40054469,0,0,0.0,1.0,1,0,1,1,1,0,0,0,0.0
847,212,"Ly, Joshua",4,3.409826428,0,1,4.518916704,0.0,0,0,3,0,1,0,0,0,0.0
851,213,"Walker, Andrea",1,1.661659882,0,0,0.0,0.0,1,0,1,0,0,1,0,0,0.0
855,214,"el-Nassif, Faaris",4,2.1364209,0,0,0.0,1.0,1,0,3,0,0,0,0,1,0.0
859,215,"Smith, Deven",2,3.241408503,0,1,5.044942919,0.0,0,0,1,0,1,0,0,0,0.0
863,216,"Ritter, Dylan",3,3.62748652,0,0,0.0,0.0,0,0,2,0,0,0,0,1,0.0
867,217,"Lovern, Kali",3,2.015287174,1,1,2.640771594,0.0,1,0,2,0,0,0,0,1,0.0
871,218,"Vieyra Perez, Alfredo",4,3.93409024,0,0,0.0,0.0,1,0,3,0,0,0,1,0,0.0
872,219,"al-Tabet, Qais",1,1.510015049,1,0,0.0,1.0,1,40,1,0,0,0,1,0,2294.001208
873,219,"al-Tabet, Qais",1,1.510015049,1,0,0.0,1.0,1,41,1,0,0,0,1,0,505.5703546
880,220,"Vue, James",3,1.957459734,1,1,3.600887743,0.0,0,0,2,1,0,0,1,0,0.0
884,221,"Tran, Chau",1,3.175584204,1,0,0.0,0.0,0,0,1,0,0,0,0,1,0.0
888,222,"Smith, Sky",2,2.885680137,0,1,2.184578111,1.0,1,0,1,0,1,0,0,0,0.0
892,223,"Martinez, Lesley",3,2.130827144,0,0,0.0,0.0,0,0,2,0,1,0,0,0,0.0
893,224,"Choi, Tiffany",1,3.089536036,0,1,10.31068928,0.0,0,44,1,0,0,1,0,0,2451.721674
900,225,"Thompson, Phillip",1,0.531473696,0,0,0.0,,1,0,1,0,1,0,0,0,0.0
904,226,"Klausing, Gregory",5,1.290079292,0,0,0.0,1.0,0,0,3,0,0,0,0,1,0.0
908,227,"Sisk, Izell",3,3.148899757,0,0,0.0,1.0,1,0,2,1,1,0,0,0,0.0
912,228,"Edd, Trina",1,2.874254189,0,1,3.071759783,1.0,1,0,1,0,1,0,0,0,0.0
916,229,"Flores, Gerardo",4,3.33458418,0,0,0.0,1.0,1,0,3,0,0,0,0,1,0.0
920,230,"Gamez, Giselle",2,2.93131614,1,1,2.137056428,0.0,1,0,1,0,0,1,0,0,0.0
924,231,"al-Sani, Izza",3,1.045634413,0,1,0.58729966,1.0,1,0,2,0,0,0,1,0,0.0
928,232,"Venable, Jordan",1,1.153197365,0,0,0.0,1.0,1,0,1,0,0,0,0,1,0.0
932,233,"Anders, Adam",4,3.750559675,0,1,0.647627834,0.0,1,0,3,0,0,0,1,0,0.0
933,234,"Clark, Gage",2,0.378755458,0,0,0.0,0.0,1,45,1,0,0,1,0,0,749.5078801
940,235,"Parrish, Brandon",5,1.023788031,0,1,6.395407945,0.0,1,0,3,0,0,0,0,1,0.0
944,236,"Peregrino, Rachael",1,2.316903315,0,1,5.36434989,0.0,1,0,1,0,0,1,0,0,0.0
948,237,"Reynolds, Sean",2,1.268636532,1,0,0.0,0.0,1,0,1,0,0,0,1,0,0.0
952,238,"Blanchard, Jessica",1,2.431191301,0,1,4.242309857,1.0,1,0,1,0,1,0,0,0,0.0
956,239,"Joe, Rosie",5,0.916025714,0,1,3.905291486,1.0,0,0,3,0,0,0,0,1,0.0
960,240,"Vidana, Vanessa",4,2.163242754,0,0,0.0,0.0,1,0,3,0,0,0,0,1,0.0
964,241,"Dia, Darion",5,2.385132533,1,0,0.0,0.0,1,0,3,1,0,0,0,1,0.0
968,242,"Batista, Mariah",5,3.152772846,1,0,0.0,0.0,0,0,3,0,0,0,1,0,0.0
972,243,"Garcia Gurule, Jake",4,1.535258604,0,0,0.0,0.0,1,0,3,0,1,0,0,0,0.0
973,244,"Martinez, Eric",1,1.698921205,1,0,0.0,0.0,1,46,1,0,0,1,0,0,968.6896677
980,245,"Adame Morales, Mercedes",2,3.37883702,0,0,0.0,0.0,0,0,1,0,0,0,0,1,0.0
